model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,0.0,1.9086521739130435,38.20598006644519
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,0.0,1.5705,15.625
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,0.0,2.585555555555556,7.258064516129032
gemma_4b_ol_q4km,gemma3:4b,0.0,1.4356,23.148148148148145
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,0.0,1.908457711442786,18.820224719101123
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,0.0,2.296446700507614,12.72609819121447
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,0.1809523790839002,1.5972925764192138,16.218130311614733
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,0.1333333324444444,2.4940174672489084,7.309288222151293
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,0.0333333330277777,3.043608695652174,19.039735099337747
qwen_4b_ol_q4km,qwen3:4b,0.0210526310470914,1.0158260869565217,55.421686746987945
qwen_8b_ol_q4km,qwen3:8b,0.0,1.887434782608696,37.58169934640523
